"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"acepack","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4.2",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"actuar","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.3-4",NA,"R (>= 4.1.0)","stats, graphics, expint","expint","MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"additivityTests","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1-4.1",NA,NA,NA,NA,"knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"ade4","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.7-22",NA,"R (>= 2.10)","graphics, grDevices, methods, stats, utils, MASS, pixmap, sp,
Rcpp","Rcpp, RcppArmadillo","ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, spdep, splancs, waveslim, progress, foreach, parallel,
doParallel, iterators",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"adegenet","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1.10",NA,"R (>= 2.14), methods, ade4","utils, stats, grDevices, MASS, igraph, ape, shiny, ggplot2,
seqinr, parallel, boot, reshape2, dplyr (>= 0.4.1), vegan",NA,"adespatial, pegas, hierfstat, maps, spdep, interp, splancs,
poppr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"adephylo","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1-16",NA,"methods, ade4 (>= 1.7-10)","phylobase, ape, adegenet",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"afex","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3-1",NA,"R (>= 3.5.0), lme4 (>= 1.1-8)","pbkrtest (>= 0.4-1), lmerTest (>= 3.0-0), car, reshape2,
stats, methods, utils",NA,"emmeans (>= 1.4), coin, xtable, parallel, plyr, optimx,
nloptr, knitr, rmarkdown, R.rsp, lattice, latticeExtra,
multcomp, testthat, mlmRev, dplyr, tidyr, dfoptim, Matrix,
psychTools, ggplot2, MEMSS, effects, carData, ggbeeswarm, nlme,
cowplot, jtools, ggpubr, ggpol, MASS, glmmTMB, brms, rstanarm,
statmod, performance (>= 0.7.2), see (>= 0.6.4), ez,
ggResidpanel, grid, vdiffr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"akima","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.6-3.4",NA,"R (>= 2.0.0)","sp",NA,NA,"tripack","ACM | file LICENSE",NA,"yes",NA,NA,"yes","4.3.0"
"animation","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.7",NA,"R (>= 2.14.0)","magick",NA,"MASS, class, testit",NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"anytime","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"ape","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","5.7-1",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, utils, parallel, Rcpp
(>= 0.12.0), digest","Rcpp","gee, expm, igraph, phangorn",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"arm","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.13-1",NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,"GPL (> 2)",NA,NA,NA,NA,"no","4.3.0"
"arules","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.7-7",NA,"R (>= 4.0.0), Matrix (>= 1.4-0)","stats, methods, generics, graphics, utils",NA,"pmml, XML, proxy, arulesViz, arulesCBA, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"arulesCBA","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.5",NA,"R (>= 4.0.0), Matrix (>= 1.4-0), arules (>= 1.7-4)","methods, discretization (>= 1.0-1), glmnet (>= 3.0-0)",NA,"testthat, mlbench, rJava, RWeka",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"arulesViz","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.5-2",NA,"arules (>= 1.6.0)","graphics, methods, utils, grDevices, stats, seriation, grid,
vcd, igraph, scatterplot3d, ggplot2, ggraph, tibble, tidyr,
dplyr, DT, plotly, visNetwork",NA,"datasets, graph, Rgraphviz, tidygraph, shiny, shinythemes,
htmlwidgets",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"ash","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0-15",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"askpass","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.0",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
